PLAYER_NAME,TEAM_ABBREVIATION,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
Vasilije Mici?,PHX,0.462,0.458,0.15,2.7,9.6,6,24.3,0.9,0,20.9,19.9,-4.6,-2.4,-7,SF
Victor Wembanyama,SAS,0.594,0.47,0.221,5.7,29.8,17.7,18.3,1.6,10.4,13.7,30.4,3.6,2.9,6.5,PF
Vince Williams Jr.,MEM,0.504,0.569,0.144,4.7,15.9,10.4,13.8,1.1,1.3,15.7,17,-2.5,-0.3,-2.8,SG
Vít Krej?í,ATL,0.661,0.705,0.154,2,13.1,7.4,16.5,1.5,2.1,13.8,12.9,0,0.7,0.7,PF
Walker Kessler,UTA,0.66,0.081,0.363,16.6,27.1,21.9,8.3,1,7.4,15,13.7,1.1,0.7,1.8,PF
Wendell Carter Jr.,ORL,0.544,0.322,0.356,9.4,23.4,16,11.5,1.5,2.2,11.9,16,-2.2,0.9,-1.2,SG
Wendell Moore Jr.,CHA,0.553,0.325,0.175,6.4,14.3,10.3,11.6,1.9,1,16.6,13.8,-2.6,-0.1,-2.7,PG
Xavier Tillman,BOS,0.31,0.604,0.075,4.7,15.5,10.1,3.8,2.4,2,20.4,13.1,-8.4,0.3,-8.1,SF
Yuki Kawamura,MEM,0.53,0.767,0.3,0,13.5,6.8,25.1,1,0,12.8,16.9,-2.6,-0.2,-2.8,PF
Yves Missi,NOP,0.572,0.002,0.415,13.7,19.7,16.6,7.2,0.9,4.8,12.4,14.3,-1.6,-1.4,-3,PG
Zaccharie Risacher,ATL,0.558,0.442,0.191,5,11.1,8,7.1,1.3,1.8,9.8,20.9,-1.7,-1.8,-3.5,PF
Zach Collins,CHI,0.605,0.351,0.258,11.1,19.9,15.6,15.6,1.4,2.6,15.1,17.1,-0.8,0.8,0,C
Zach Edey,MEM,0.624,0.12,0.293,17.5,23.4,20.5,6.1,1.2,5.5,15.3,16.4,-0.2,0.1,-0.1,PG
Zach LaVine,SAC,0.639,0.438,0.233,0.9,12,6.5,18.3,1.1,0.4,13.4,25.3,2.3,-1.6,0.7,SG
Zeke Nnaji,DEN,0.574,0.369,0.312,6.3,9.8,8.1,4.6,2,5.6,8,12.2,-2.1,0.7,-1.3,C
Ziaire Williams,BKN,0.55,0.581,0.237,4.3,17.5,10.6,8.5,2,1.8,10.5,18.2,-2.2,-0.1,-2.3,SF
Zion Williamson,NOP,0.6,0.026,0.474,9.3,18.2,13.6,36.6,2.1,3,12.8,34.7,5.9,1,7,PF
