Player,Age,Team,Pos,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Eric Gordon,36,PHI,SG,0.591,0.672,1.1,5.8,3.4,12,1.7,1.5,11.1,14.4,-0.8,-0.8,-1.6,0.1
Jazian Gortman,21,DAL,PG,0.485,0.478,2,7.5,4.8,14.7,1.7,1.5,16.8,22.4,-5.5,-0.8,-6.3,-0.1
Jerami Grant,30,POR,PF,0.523,0.516,1.8,10,5.8,9.5,1.3,2.7,9.1,19.4,-1.4,-0.3,-1.6,0.1
A.J. Green,25,MIL,SG,0.621,0.856,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,-1.7,-0.4,-2.2,-0.1
Draymond Green,34,GSW,PF,0.534,0.483,3.9,19,11.2,26.2,2.4,3.4,23.3,15.9,-2.3,2.8,0.5,1.3
Jalen Green,22,HOU,SG,0.544,0.46,1.7,13.4,7.4,16,1.3,0.9,11.4,27.3,1.1,-0.5,0.5,1.7
Javonte Green,31,2TM,SG,0.541,0.491,5,13.9,9.4,5.9,2.5,2.4,9.1,11.8,-2.8,0.5,-2.3,-0.1
Jeff Green,38,HOU,PF,0.649,0.653,2.9,12.9,7.8,7,0.7,0.9,6.4,14.7,0.3,0,0.4,0.2
Josh Green,24,CHO,SG,0.559,0.589,3.1,6.7,4.9,8.2,1.9,0.8,13.4,11.8,-4.5,0.2,-4.3,-1.1
Quentin Grimes,24,2TM,SG,0.595,0.512,3.2,14.7,8.9,17.7,1.8,1,13.3,22.8,1.3,-0.9,0.4,1.2
Mouhamed Gueye,22,ATL,PF,0.52,0.474,8.8,20,14.3,6.6,2.5,5.7,7.3,15.7,-1.6,1,-0.6,0.2
Rui Hachimura,26,LAL,PF,0.619,0.429,4.9,12.6,8.9,6.4,1.2,1.3,7.3,15.8,-0.1,-0.6,-0.7,0.6
Tyrese Haliburton,24,IND,PG,0.616,0.559,1.9,9.7,5.9,38.9,2.1,1.8,9.8,21.6,5.7,0.2,5.8,4.9
PJ Hall,22,DEN,C,0.641,0.333,10.5,25.4,18.3,8.4,0,5.4,7.2,17.8,-0.7,-0.6,-1.3,0
Tim Hardaway Jr.,32,DET,SG,0.567,0.672,0.9,8.4,4.7,7.6,0.8,0.3,6.1,15.5,-1.1,-0.9,-2.1,0
James Harden,35,LAC,PG,0.582,0.516,2.3,16.1,9.3,36.8,2.1,2,18,29.6,3.5,0.8,4.3,4.4
Jaden Hardy,22,DAL,SG,0.549,0.476,1.1,9.4,5.3,13.2,1.5,0.5,15.4,25.3,-2.8,-1.9,-4.7,-0.6
Elijah Harkless,24,UTA,SG,0.425,0.714,7.1,9.3,8.2,7.7,3.5,0.7,7.4,12.3,-5.2,1.5,-3.8,-0.1
Ron Harper Jr.,24,DET,SF,0.225,0.75,26.3,19.4,22.8,14.3,0,0,0,22,-5.5,-9.2,-14.7,0
Gary Harris,30,ORL,SG,0.524,0.759,3.1,7.5,5.2,5.8,1.8,1.6,10.9,9.5,-3.9,1.2,-2.7,-0.1
Tobias Harris,32,DET,PF,0.571,0.328,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,-0.5,0.6,0.1,1.2
Josh Hart,29,NYK,SG,0.611,0.327,6.4,22.6,14.6,20.7,2,0.9,15.5,15.3,1.1,1.8,2.8,3.6
Isaiah Hartenstein,26,OKC,C,0.599,0.04,11.2,29.6,20.6,18.3,1.4,3.9,15.3,16.7,0.6,2.6,3.2,2.1
Sam Hauser,27,BOS,PF,0.632,0.842,3.1,12.7,7.9,5.8,1.3,0.8,4.6,14.3,0.9,-0.1,0.8,1.1
Jordan Hawkins,22,NOP,SG,0.504,0.597,2,11.2,6.5,7.3,1.1,1.7,8.8,21,-2.4,-3,-5.4,-1.2
Jaxson Hayes,24,LAL,C,0.72,0.013,8.3,19.1,13.9,7.5,1.4,4.4,13.9,12.4,-1.6,1.3,-0.3,0.5
Killian Hayes,23,BRK,PG,0.559,0.488,3.3,9.6,6.3,28.6,1.2,2.5,15.7,15.5,-0.5,-0.1,-0.6,0.1
Scoot Henderson,20,POR,PG,0.54,0.434,3.1,9.2,6.1,28.1,1.9,0.7,18.6,22.5,-1.4,-0.8,-2.2,-0.1
Taylor Hendricks,21,UTA,PF,0.354,0.667,7.2,14.3,10.8,3.4,3.2,5,9.2,12.1,-4.8,1.3,-3.5,0
Tyler Herro,25,MIA,SG,0.605,0.486,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28,3.8,-0.7,3.1,3.5
Buddy Hield,32,GSW,SG,0.56,0.698,2.9,12.7,7.6,10.7,1.8,1.2,10.1,20.5,-0.7,-0.3,-1,0.5
Haywood Highsmith,28,MIA,SF,0.583,0.596,4.4,10.8,7.7,8.4,1.9,2,11.6,11.3,-2.7,0.9,-1.9,0.1
Aaron Holiday,28,HOU,PG,0.594,0.675,1.7,8.9,5.2,14.3,1.2,1.2,11.5,16.8,-0.4,0.1,-0.2,0.3
Jrue Holiday,34,BOS,PG,0.565,0.534,4.4,10.8,7.6,17.3,1.7,1.3,11.3,15.8,-0.3,1,0.7,1.3
Ron Holland,19,DET,SF,0.556,0.363,3.5,15.5,9.5,8.9,1.9,1.3,13.3,18.1,-3.3,0.3,-3,-0.3
Richaun Holmes,31,WAS,PF,0.695,0.022,12,22.5,17.2,12.1,0.8,3.9,11.3,14.7,1.2,0,1.1,0.4
Chet Holmgren,22,OKC,C,0.599,0.34,6,25,15.7,9.7,1.3,8.2,12.3,22,0.5,1.9,2.4,1
Jalen Hood-Schifino,21,2TM,SG,0.494,0.469,1.1,9,4.9,16.7,0.8,2.2,14.4,17.3,-4.4,-2.5,-6.9,-0.4
Al Horford,38,BOS,C,0.563,0.681,5.2,18.9,12.1,10.4,1.1,2.8,8.8,13.8,0.1,1.1,1.2,1.3
Talen Horton-Tucker,24,CHI,SG,0.567,0.419,2.8,11.5,7.2,16.1,1.4,1.3,10.7,21.6,-1.4,-1.1,-2.4,-0.1
Caleb Houstan,22,ORL,SF,0.605,0.842,2.6,8.6,5.5,6.4,1.4,0.7,6.2,11.7,-2.4,0.2,-2.2,0
