PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
Ben Simmons,LAC,28,51,22,5,4.7,5.6,0.7,0.5,2,0.52,0,0.727,-1.1,82,240,2016,1,1,0.539,0,0.148,4.6,20.3,12.2,37,1.7,2,30,13.2,-2.3,1.8,-0.5,SG
Bennedict Mathurin,IND,23,72,29.9,16.1,5.3,1.9,0.7,0.3,1.9,0.458,0.34,0.831,1.3,77,210,2022,1,6,0.579,0.338,0.389,4.6,15.2,9.9,8.8,1.1,1,11.9,22.8,-1.3,-1.5,-2.9,SG
Bilal Coulibaly,WAS,20,59,33,12.3,5,3.4,1.3,0.7,2.1,0.421,0.281,0.746,-9.9,80,195,2023,1,7,0.515,0.359,0.296,4.8,10.9,7.8,14.9,1.9,1.9,15.1,17.9,-3,-0.7,-3.7,C
Bismack Biyombo,SAS,32,28,18.8,5.1,5.6,1.1,0.6,0.8,1,0.588,0,0.4,-3.6,80,255,2011,1,7,0.576,0,0.219,8.7,23.4,16,7.9,1.5,3.9,17.8,12.3,-3.6,0,-3.6,SG
Blake Wesley,SAS,22,58,11.8,3.7,1.1,2,0.6,0.1,0.9,0.435,0.293,0.623,-0.2,75,185,2022,1,25,0.51,0.312,0.328,2.7,6.9,4.8,22.3,2.6,0.8,20.2,16.7,-3.9,-0.3,-4.2,SG
Bobby Portis,MIL,30,49,25.4,13.9,8.4,2.1,0.7,0.5,1.2,0.466,0.365,0.836,1.9,82,250,2015,1,22,0.542,0.299,0.123,8.2,27,18,12.9,1.4,1.9,8.3,24.1,0.6,-0.4,0.2,PG
Bol Bol,PHX,25,36,12.5,6.8,2.9,0.6,0.3,0.7,0.6,0.525,0.344,0.769,-1,87,220,2019,2,44,0.627,0.508,0.142,5.1,20.4,13,7.7,1,5.2,9.3,21.1,1.7,-0.9,0.8,SF
Bones Hyland,MIN,24,24,9.9,6.2,1,1.3,0.8,0.2,1,0.398,0.39,0.885,-1.3,74,169,2021,1,26,0.576,0.695,0.22,2.4,9.3,5.9,20.1,3.7,1.7,16.2,28.2,0.9,1.8,2.7,SF
Bradley Beal,PHX,32,53,32.1,17,3.3,3.7,1.1,0.5,1.9,0.497,0.386,0.803,-5.2,76,207,2012,1,3,0.598,0.38,0.197,2.3,9.1,5.8,17.6,1.7,1.5,11.6,22.1,-0.1,-1,-1.1,C
Branden Carlson,OKC,26,32,7.7,3.8,1.7,0.4,0.2,0.7,0.2,0.443,0.333,0.778,1.3,84,220,Undrafted,Undrafted,Undrafted,0.581,0.68,0.186,7.6,15.8,11.8,7.5,1,8.6,6.3,19.3,0.5,0.8,1.3,SG
Brandin Podziemski,GSW,22,64,26.8,11.7,5.1,3.4,1.1,0.2,1.2,0.445,0.372,0.758,4.1,76,205,2023,1,19,0.557,0.491,0.151,4,16.8,10.2,18.7,2,0.7,10.1,18.3,-0.1,0.8,0.7,PF
Brandon Boston Jr.,NOP,23,42,23.6,10.7,3.2,2.2,1.3,0.2,1.2,0.436,0.35,0.788,-3.3,78,188,2021,2,51,0.535,0.367,0.223,3,11.9,7.3,13.7,2.6,0.9,11.1,20,-2.3,-0.2,-2.5,SF
Brandon Clarke,MEM,28,64,18.9,8.3,5.1,1,0.8,0.6,0.6,0.621,0.059,0.701,2.8,80,215,2019,1,21,0.638,0.045,0.229,11.3,17.3,14.3,7.4,2,2.7,8.9,15.3,0,0.8,0.8,SG
Brandon Miller,CHA,22,27,34.2,21,4.9,3.6,1.1,0.7,2.8,0.403,0.355,0.861,-4.6,79,200,2023,1,2,0.54,0.597,0.161,2.8,12.5,7.6,18.3,1.5,2.1,12.6,27.7,0.8,-0.8,0,PF
Brandon Williams,DAL,25,33,14.8,8.3,1.8,2.3,0.7,0.2,1.2,0.521,0.4,0.833,0.3,73,190,Undrafted,Undrafted,Undrafted,0.634,0.319,0.351,2.7,10.1,6.5,23.2,2.4,0.9,15.2,22.6,1,-0.1,1,PG
